IndividualID,ProjectEntityID,SequencingSampleID,SantosID,EntityType,MetadataGeneration,PedigreeGeneration,Sex
fTroAst73,2021cicX14537298,2021cicX14537298,X_AcTm_63,sequenced_individual,F2,F2,M
fTroAst74,2021cicX14537299,2021cicX14537299,X_AcTm_64,sequenced_individual,F2,F2,M
fTroAst76,2021cicX14537300,2021cicX14537300,X_AcTm_65,sequenced_individual,F2,F2,M
fTroAst78,2021cicX14537301,2021cicX14537301,X_AcTm_66,sequenced_individual,F2,F2,M
fTroAst87,2021cicX14537302,2021cicX14537302,X_AcTm_67,sequenced_individual,F2,F2,M
fTroAst89,2021cicX14537303,2021cicX14537303,X_AcTm_68,sequenced_individual,F2,F2,M
fTroAst91,2021cicX14537304,2021cicX14537304,X_AcTm_69,sequenced_individual,F2,F2,M
fTroAst92,2021cicX14537305,2021cicX14537305,X_AcTm_70,sequenced_individual,F2,F2,M
fTroAst83,2021cicX14537306,2021cicX14537306,X_AcTm_71,sequenced_individual,F2,F2,M
fTroAst84,2021cicX14537307,2021cicX14537307,X_AcTm_72,sequenced_individual,F2,F2,M
fTroAst85,2021cicX14537308,2021cicX14537308,X_AcTm_73,sequenced_individual,F2,F2,M
fTroAst86,2021cicX14537309,2021cicX14537309,X_AcTm_74,sequenced_individual,F2,F2,M
fTroAst88,2021cicX14537310,2021cicX14537310,X_AcTm_75,sequenced_individual,F2,F2,M
fTroAst90,2021cicX14537311,2021cicX14537311,X_AcTm_76,sequenced_individual,F2,F2,M
fTroAst99,2021cicX14537312,2021cicX14537312,X_AcTm_77,sequenced_individual,F2,F2,M
fTroAst101,2021cicX14537313,2021cicX14537313,X_AcTm_78,sequenced_individual,F2,F2,M
fTroAst93,2021cicX14537314,2021cicX14537314,X_AcTm_79,sequenced_individual,F2,F2,M
fTroAst94,2021cicX14537315,2021cicX14537315,X_AcTm_80,sequenced_individual,F2,F2,M
fTroAst95,2021cicX14537316,2021cicX14537316,X_AcTm_81,sequenced_individual,F2,F2,M
fTroAst96,2021cicX14537317,2021cicX14537317,X_AcTm_82,sequenced_individual,F2,F2,M
fTroAst97,2021cicX14537318,2021cicX14537318,X_AcTm_83,sequenced_individual,F2,F2,M
fTroAst98,2021cicX14537319,2021cicX14537319,X_AcTm_84,sequenced_individual,F2,F2,M
fTroAst100,2021cicX14537320,2021cicX14537320,X_AcTm_85,sequenced_individual,F2,F2,M
fTroAst102,2021cicX14537321,2021cicX14537321,X_AcTm_86,sequenced_individual,F2,F2,M
fTroAst103,2021cicX14537322,2021cicX14537322,X_AcTm_87,sequenced_individual,F2,F2,M
fTroAst105,2021cicX14537323,2021cicX14537323,X_AcTm_88,sequenced_individual,F2,F2,M
fTroAst107,2021cicX14537324,2021cicX14537324,X_AcTm_89,sequenced_individual,F2,F2,M
fTroAst108,2021cicX14537325,2021cicX14537325,X_AcTm_90,sequenced_individual,F2,F2,M
fTroAst109,2021cicX14537326,2021cicX14537326,X_AcTm_91,sequenced_individual,F2,F2,M
fTroAst110,2021cicX14537327,2021cicX14537327,X_AcTm_92,sequenced_individual,F2,F2,M
fTroAst111,2021cicX14537328,2021cicX14537328,X_AcTm_93,sequenced_individual,F2,F2,M
fTroAst112,2021cicX14537329,2021cicX14537329,X_AcTm_94,sequenced_individual,F2,F2,M
fTroAst104,2021cicX14537330,2021cicX14537330,X_AcTm_95,sequenced_individual,F2,F2,M
fTroAst106,2021cicX14537331,2021cicX14537331,X_AcTm_96,sequenced_individual,F2,F2,M
fTroAst11,2021cicX13611458,2021cicX13611458,,sequenced_individual,F1,F1,M
fTroAst18,2021cicX13611459,2021cicX13611459,,sequenced_individual,F1,F1,M
fTroAst25,2021cicX13611460,2021cicX13611460,,sequenced_individual,F1,F1,M
fTroAst31,2021cicX13611461,2021cicX13611461,,sequenced_individual,F1,F1,M
fTroAst37,2021cicX13611462,2021cicX13611462,,sequenced_individual,F1,F1,M
fTroAst43,2021cicX13611463,2021cicX13611463,,sequenced_individual,F1,F1,M
fTroAst49,2021cicX13611464,2021cicX13611464,,sequenced_individual,F1,F1,M
fTroAst55,2021cicX13611465,2021cicX13611465,,sequenced_individual,F1,F1,M
fTroAst12,2021cicX13611466,2021cicX13611466,,sequenced_individual,F1,F1,F
fTroAst19,2021cicX13611467,2021cicX13611467,,sequenced_individual,F1,F1,F
fTroAst26,2021cicX13611468,2021cicX13611468,,sequenced_individual,F1,F1,F
fTroAst32,2021cicX13611469,2021cicX13611469,,sequenced_individual,F1,F1,F
fTroAst38,2021cicX13611470,2021cicX13611470,,sequenced_individual,F1,F1,F
fTroAst44,2021cicX13611471,2021cicX13611471,,sequenced_individual,F1,F1,F
fTroAst50,2021cicX13611472,2021cicX13611472,,sequenced_individual,F1,F1,F
fTroAst56,2021cicX13611473,2021cicX13611473,,sequenced_individual,F1,F1,F
fAstCal29,2021cicX11218977,2021cicX11218977,,sequenced_individual,G0,G0,F
fAstCal30,2021cicX11218978,2021cicX11218978,,sequenced_individual,G0,G0,F
fAstCal31,2021cicX11218979,2021cicX11218979,,sequenced_individual,G0,G0,F
fTroMau1,2021cicX11218980,2021cicX11218980,,sequenced_individual,G0,G0,M
