FatherIndividualID,fAulAsc153,fAulAsc154,mother unresolved
fAulAsc150,5,12,0
fAulAsc151,12,10,0
fAulAsc152,0,0,0
fAulAsc155,0,0,0
fAulAsc156,0,0,0
fAulAsc157,8,28,0
fAulAsc158,17,37,0
father unresolved,0,0,0
