FID,IID,PAT,MAT,SEX,PHENOTYPE
AstCal_AulStu,fAulAsc147,fAulAsc150,0,1,-9
AstCal_AulStu,fAulAsc148,fAulAsc150,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc149,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc150,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc151,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc152,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc153,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,2,-9
AstCal_AulStu,fAulAsc154,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,2,-9
AstCal_AulStu,fAulAsc155,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc156,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc157,LATENT_G0_SHARED,LATENT_G0_B1_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc158,LATENT_G0_SHARED,LATENT_G0_B1_SPECIFIC,1,-9
AstCal_AulStu,fAstCal32,0,0,1,-9
AstCal_AulStu,fAstCal33,0,0,2,-9
AstCal_AulStu,fAulAsc159,0,0,1,-9
AstCal_AulStu,fAulAsc170,0,0,1,-9
AstCal_AulStu,fAulAsc181,0,0,1,-9
AstCal_AulStu,fAulAsc192,0,0,1,-9
AstCal_AulStu,fAulAsc203,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc214,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc225,fAulAsc32,0,1,-9
AstCal_AulStu,fAulAsc235,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc162,0,0,1,-9
AstCal_AulStu,fAulAsc173,0,0,1,-9
AstCal_AulStu,fAulAsc184,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc195,0,0,1,-9
AstCal_AulStu,fAulAsc206,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc217,fAulAsc103,0,1,-9
AstCal_AulStu,fAulAsc227,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc237,0,0,1,-9
AstCal_AulStu,fAulAsc163,0,0,1,-9
AstCal_AulStu,fAulAsc174,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc185,0,0,1,-9
AstCal_AulStu,fAulAsc196,0,0,1,-9
AstCal_AulStu,fAulAsc207,0,0,1,-9
AstCal_AulStu,fAulAsc218,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc228,0,0,1,-9
AstCal_AulStu,fAulAsc238,0,0,1,-9
AstCal_AulStu,fAulAsc164,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc175,0,0,1,-9
AstCal_AulStu,fAulAsc186,0,0,1,-9
AstCal_AulStu,fAulAsc197,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc208,0,0,1,-9
AstCal_AulStu,fAulAsc219,0,0,1,-9
AstCal_AulStu,fAulAsc229,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc239,0,0,1,-9
AstCal_AulStu,fAulAsc165,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc176,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc187,0,0,1,-9
AstCal_AulStu,fAulAsc198,0,0,1,-9
AstCal_AulStu,fAulAsc209,0,0,1,-9
AstCal_AulStu,fAulAsc220,0,0,1,-9
AstCal_AulStu,fAulAsc230,0,0,1,-9
AstCal_AulStu,fAulAsc240,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc166,0,0,1,-9
AstCal_AulStu,fAulAsc177,0,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc188,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc199,0,0,1,-9
AstCal_AulStu,fAulAsc210,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc221,0,0,1,-9
AstCal_AulStu,fAulAsc231,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc241,0,0,1,-9
AstCal_AulStu,fAulAsc167,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc178,fAulAsc58,0,1,-9
AstCal_AulStu,fAulAsc189,0,0,1,-9
AstCal_AulStu,fAulAsc200,0,0,1,-9
AstCal_AulStu,fAulAsc211,0,0,1,-9
AstCal_AulStu,fAulAsc222,0,0,1,-9
AstCal_AulStu,fAulAsc232,0,0,1,-9
AstCal_AulStu,fAulAsc242,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc168,0,0,1,-9
AstCal_AulStu,fAulAsc179,0,0,1,-9
AstCal_AulStu,fAulAsc190,0,0,1,-9
AstCal_AulStu,fAulAsc201,0,0,1,-9
AstCal_AulStu,fAulAsc212,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc223,0,0,1,-9
AstCal_AulStu,fAulAsc233,0,0,1,-9
AstCal_AulStu,fAulAsc243,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc169,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc180,0,0,1,-9
AstCal_AulStu,fAulAsc191,fAulAsc60,0,1,-9
AstCal_AulStu,fAulAsc202,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc213,0,0,1,-9
AstCal_AulStu,fAulAsc224,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc234,0,0,1,-9
AstCal_AulStu,fAulAsc244,0,0,1,-9
AstCal_AulStu,fAulAsc160,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc171,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc182,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc193,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc204,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc215,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc226,0,0,1,-9
AstCal_AulStu,fAulAsc236,0,0,1,-9
AstCal_AulStu,fAulAsc161,0,0,1,-9
AstCal_AulStu,fAulAsc172,0,0,1,-9
AstCal_AulStu,fAulAsc183,0,0,1,-9
AstCal_AulStu,fAulAsc194,0,0,1,-9
