ChildIndividualID,FatherIndividualID,LeadingFather,FatherReported,FatherEdgeEvidenceClass,TierAParent,TierBOrBetterParent,ParentBootstrapFraction,ParentVariantFraction,ParentLeaveOneChromosomeFraction,ParentAlternatives95,EvidenceTier,ParentCountMAPState,OneParentStateBootstrapFraction,OneParentStateLeaveOneChromosomeFraction,OneParentStatePriorFraction,ForcedCompletionApplied,Interpretation
fAulAsc283,0,fAulAsc127,False,,False,False,0.2595,0.1428571428571428,0.9090909090909092,fAulAsc127:0.260;fAulAsc94:0.191;fAulAsc56:0.180;fAulAsc45:0.129;fAulAsc38:0.114;fAulAsc60:0.071;fAulAsc123:0.023,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc285,0,fAulAsc26,False,,False,False,0.26025,0.1428571428571428,0.8181818181818182,fAulAsc11:0.271;fAulAsc26:0.260;fAulAsc21:0.067;fAulAsc10:0.066;fAulAsc71:0.060;fAulAsc62:0.056;fAulAsc99:0.038;fAulAsc13:0.034;fAulAsc32:0.024;fAulAsc106:0.022;fAulAsc9:0.020;fAulAsc55:0.017;fAulAsc8:0.017,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc287,0,fAulAsc177,False,,False,False,0.41275,1.0,0.9545454545454546,fAulAsc177:0.413;fAulAsc90:0.190;fAulAsc103:0.152;fAulAsc76:0.051;fAulAsc60:0.045;fAulAsc136:0.038;fAulAsc188:0.020;fAulAsc6:0.018;fAulAsc80:0.018;fAulAsc97:0.015,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc274,fAulAsc106,fAulAsc106,True,Tier_B_additional_identity,False,True,0.5815,1.0,1.0,fAulAsc106:0.582;fAulAsc22:0.143;fAulAsc10:0.061;fAulAsc19:0.053;fAulAsc82:0.049;fAulAsc11:0.036;fAulAsc86:0.034,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc276,0,fAulAsc60,False,,False,False,0.45725,1.0,0.9090909090909092,fAulAsc60:0.457;fAulAsc10:0.227;fAulAsc122:0.083;fAulAsc50:0.054;fAulAsc82:0.051;fAulAsc38:0.040;fAulAsc81:0.029;fAulAsc107:0.020,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc278,0,fAulAsc10,False,,False,False,0.37,0.1428571428571428,0.9545454545454546,fAulAsc10:0.370;fAulAsc62:0.195;fAulAsc82:0.137;fAulAsc14:0.109;fAulAsc60:0.069;fAulAsc64:0.043;fAulAsc21:0.039,C_complete_working_hypothesis,one_observed_parent,0.94525,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc280,0,fAulAsc79,False,,False,False,0.42325,0.1428571428571428,0.8636363636363636,fAulAsc79:0.423;fAulAsc52:0.318;fAulAsc11:0.134;fAulAsc14:0.030;fAulAsc38:0.026;fAulAsc53:0.025,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc282,0,fAulAsc122,False,,False,False,0.11325,0.8571428571428571,0.9090909090909092,fAulAsc28:0.209;fAulAsc61:0.190;fAulAsc94:0.155;fAulAsc88:0.141;fAulAsc122:0.113;fAulAsc51:0.043;fAulAsc78:0.038;fAulAsc81:0.022;fAulAsc104:0.019;fAulAsc23:0.018;fAulAsc123:0.015,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc284,fAulAsc102,fAulAsc102,True,Tier_B_additional_identity,False,True,0.54925,1.0,0.9545454545454546,fAulAsc102:0.549;fAulAsc26:0.191;fAulAsc32:0.136;fAulAsc101:0.080,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
fAulAsc286,0,fAulAsc102,False,,False,False,0.27275,1.0,0.9545454545454546,fAulAsc102:0.273;fAulAsc129:0.204;fAulAsc46:0.175;fAulAsc101:0.130;fAulAsc210:0.099;fAulAsc6:0.024;fAulAsc126:0.023;fAulAsc104:0.020;fAulAsc62:0.016,C_complete_working_hypothesis,one_observed_parent,1.0,1.0,1.0,False,observed_F2_father_identity_unresolved
fAulAsc288,fAulAsc52,fAulAsc52,True,Tier_B_additional_identity,False,True,0.889,1.0,1.0,fAulAsc52:0.889;fAulAsc6:0.034;fAulAsc53:0.032,B_observed_F2_parent,one_observed_parent,1.0,1.0,1.0,False,reported_observed_F2_father
