FatherIndividualID,F3Count
fAulAsc103,1
fAulAsc58,1
fAulAsc91,1
fAulAsc177,1
fAulAsc15,1
fAulAsc25,1
fAulAsc19,2
fAulAsc60,2
fAulAsc32,6
fAulAsc52,7
fAulAsc102,10
fAulAsc78,11
fAulAsc38,11
fAulAsc106,12
unresolved,83
