ChildIndividualID,FatherIndividualID,MotherIndividualID,LeadingFather,LeadingMother,ReportedParentCount,FatherEdgeEvidenceClass,MotherEdgeEvidenceClass,TierAExactPair,TierBExactPair,PairInterpretation,PairBootstrapFraction,FatherBootstrapFraction,MotherBootstrapFraction,PairVariantFraction,PairLeaveOneChromosomeFraction,PairAlternatives95,EvidenceTier,ParentCountMAPState,DesignGuaranteeApplied,ForcedCompletionApplied
fAulAsc17,fAulAsc157,0,fAulAsc157,fAulAsc154,1,Tier_B_additional_identity,,False,False,one_supported_parent_identity,0.53,0.74075,0.7110000000000001,0.2857142857142857,1.0,fAulAsc157+fAulAsc154:0.530;fAulAsc157+fAulAsc153:0.211;fAulAsc158+fAulAsc154:0.181;fAulAsc158+fAulAsc153:0.078,B_one_parent_identity,zero_parent,False,False
fAulAsc18,0,0,fAulAsc158,fAulAsc154,0,,,False,False,observed_parent_identities_unresolved,0.4585,0.694,0.50275,0.1428571428571428,0.7727272727272727,fAulAsc158+fAulAsc154:0.459;fAulAsc157+fAulAsc153:0.262;fAulAsc158+fAulAsc153:0.235,C_complete_working_hypothesis,zero_parent,False,False
fAulAsc19,fAulAsc157,fAulAsc154,fAulAsc157,fAulAsc154,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.56075,0.5612499999999999,0.8819999999999999,1.0,0.8181818181818182,fAulAsc157+fAulAsc154:0.561;fAulAsc158+fAulAsc154:0.321;fAulAsc158+fAulAsc153:0.117,B_exact_pair,zero_parent,False,False
fAulAsc20,0,fAulAsc154,fAulAsc157,fAulAsc154,1,,Tier_B_additional_identity,False,False,one_supported_parent_identity,0.44925,0.44925,0.82975,1.0,0.5909090909090909,fAulAsc157+fAulAsc154:0.449;fAulAsc158+fAulAsc154:0.381;fAulAsc158+fAulAsc153:0.168,B_one_parent_identity,zero_parent,False,False
fAulAsc21,fAulAsc151,fAulAsc154,fAulAsc151,fAulAsc154,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.699,0.85225,0.7579999999999999,1.0,1.0,fAulAsc151+fAulAsc154:0.699;fAulAsc151+fAulAsc153:0.153;fAulAsc152+fAulAsc153:0.075;fAulAsc155+fAulAsc154:0.035,B_exact_pair,zero_parent,False,False
fAulAsc22,fAulAsc158,0,fAulAsc158,fAulAsc154,1,Tier_B_additional_identity,,False,False,one_supported_parent_identity,0.3565,0.60775,0.4997499999999999,0.1428571428571428,0.8181818181818182,fAulAsc158+fAulAsc154:0.356;fAulAsc158+fAulAsc153:0.251;fAulAsc157+fAulAsc153:0.249;fAulAsc157+fAulAsc154:0.143,B_one_parent_identity,zero_parent,False,False
fAulAsc23,fAulAsc151,fAulAsc154,fAulAsc151,fAulAsc154,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_A_exact_pair,1.0,1.0,1.0,1.0,1.0,fAulAsc151+fAulAsc154:1.000,A_exact_pair,two_parent,False,False
fAulAsc24,fAulAsc151,fAulAsc153,fAulAsc151,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,False,both_identities_reported_pair_ambiguous,0.44125,0.7222500000000001,0.5185,1.0,0.9090909090909092,fAulAsc151+fAulAsc153:0.441;fAulAsc151+fAulAsc154:0.281;fAulAsc155+fAulAsc154:0.184;fAulAsc152+fAulAsc153:0.043;fAulAsc158+fAulAsc153:0.022,B_both_parent_identities_pair_ambiguous,zero_parent,False,False
fAulAsc25,fAulAsc158,fAulAsc153,fAulAsc158,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.628,0.94775,0.628,1.0,1.0,fAulAsc158+fAulAsc153:0.628;fAulAsc158+fAulAsc154:0.320;fAulAsc157+fAulAsc154:0.052,B_exact_pair,zero_parent,False,False
fAulAsc26,fAulAsc158,fAulAsc153,fAulAsc158,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.5365,0.8654999999999999,0.5435,1.0,0.8636363636363636,fAulAsc158+fAulAsc153:0.536;fAulAsc158+fAulAsc154:0.329;fAulAsc157+fAulAsc154:0.119,B_exact_pair,zero_parent,False,False
fAulAsc27,0,fAulAsc154,fAulAsc157,fAulAsc154,1,,Tier_B_additional_identity,False,False,one_supported_parent_identity,0.549,0.552,0.93325,0.1428571428571428,0.8181818181818182,fAulAsc157+fAulAsc154:0.549;fAulAsc158+fAulAsc154:0.384;fAulAsc158+fAulAsc153:0.064,B_one_parent_identity,zero_parent,False,False
fAulAsc28,fAulAsc151,0,fAulAsc151,fAulAsc153,1,Tier_B_additional_identity,,False,False,one_supported_parent_identity,0.48675,0.94,0.4895,0.2857142857142857,0.6818181818181818,fAulAsc151+fAulAsc153:0.487;fAulAsc151+fAulAsc154:0.453;fAulAsc150+fAulAsc154:0.057,B_one_parent_identity,father_only,False,False
fAulAsc29,fAulAsc150,fAulAsc154,fAulAsc150,fAulAsc154,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_A_exact_pair,0.96175,1.0,0.96175,1.0,1.0,fAulAsc150+fAulAsc154:0.962,A_exact_pair,father_only,False,False
fAulAsc30,0,fAulAsc154,fAulAsc158,fAulAsc154,1,,Tier_B_additional_identity,False,False,one_supported_parent_identity,0.51275,0.75875,0.7372500000000001,0.1428571428571428,1.0,fAulAsc158+fAulAsc154:0.513;fAulAsc158+fAulAsc153:0.246;fAulAsc157+fAulAsc154:0.225,B_one_parent_identity,zero_parent,False,False
fAulAsc31,0,0,fAulAsc157,fAulAsc153,0,,,False,False,observed_parent_identities_unresolved,0.453,0.52175,0.54325,1.0,0.6363636363636364,fAulAsc157+fAulAsc153:0.453;fAulAsc158+fAulAsc154:0.388;fAulAsc158+fAulAsc153:0.090;fAulAsc157+fAulAsc154:0.069,C_complete_working_hypothesis,zero_parent,False,False
