Sample,Generation,Parent1,Parent2
F3_49,Unknown,F2_10,F2_12
F3_50,Unknown,F2_96,F2_33
F3_51,Unknown,F2_44,F2_16
F3_52,Unknown,F2_87,F2_64
F3_53,Unknown,F2_14,F2_68
F3_54,Unknown,F2_98,F2_49
F3_55,Unknown,F2_75,F2_60
F3_56,Unknown,F2_75,F2_54
F3_57,Unknown,F2_31,F2_1
F3_58,Unknown,F2_86,F2_62
F3_59,Unknown,F2_27,F2_64
F3_60,Unknown,F2_38,F2_3
F3_61,Unknown,F2_80,F2_27
F3_62,Unknown,F2_10,F2_28
F3_63,Unknown,F2_79,F2_41
F3_64,Unknown,F2_61,F2_39
F3_65,Unknown,F2_78,F2_23
F3_66,Unknown,F2_13,F2_31
F3_67,Unknown,F2_28,F2_2
F3_68,Unknown,F2_33,F2_52
F3_69,Unknown,F2_53,F2_48
F3_70,Unknown,F2_52,F2_29
F3_71,Unknown,F2_12,F2_20
F3_72,Unknown,F2_28,F2_75
F3_73,Unknown,F2_20,F2_16
F3_74,Unknown,F2_57,F2_17
F3_75,Unknown,F2_8,F2_23
F3_76,Unknown,F2_27,F2_50
F3_77,Unknown,F2_52,F2_8
F3_78,Unknown,F2_47,F2_35
F3_79,Unknown,F2_52,F2_3
F3_80,Unknown,F2_24,F2_8
F3_81,Unknown,F2_32,F2_15
F3_82,Unknown,F2_91,F2_50
F3_83,Unknown,F2_12,F2_96
F3_84,Unknown,F2_40,F2_98
F3_85,Unknown,F2_1,F2_48
F3_86,Unknown,F2_7,F2_87
F3_87,Unknown,F2_72,F2_55
F3_88,Unknown,F2_66,F2_92
F3_89,Unknown,F2_65,F2_21
F3_90,Unknown,F2_6,F2_7
F3_91,Unknown,F2_17,F2_27
F3_92,Unknown,F2_21,F2_70
F3_93,Unknown,F2_47,F2_97
F3_94,Unknown,F2_69,F2_55
F3_95,Unknown,F2_35,F2_98
F3_96,Unknown,F2_42,F2_57
F3_97,Unknown,F2_2,F2_65
F3_98,Unknown,F2_99,F2_54
F3_99,Unknown,F2_62,F2_28
F3_100,Unknown,F2_86,F2_63
F3_101,Unknown,F2_93,F2_31
F3_102,Unknown,F2_52,F2_74
F3_103,Unknown,F2_55,F2_1
F3_104,Unknown,F2_37,F2_60
F3_105,Unknown,F2_74,F2_68
F3_106,Unknown,F2_52,F2_25
F3_107,Unknown,F2_26,F2_59
F3_108,Unknown,F2_65,F2_28
F3_109,Unknown,F2_75,F2_22
F3_110,Unknown,F2_14,F2_86
F3_111,Unknown,F2_51,F2_36
F3_112,Unknown,F2_45,F2_2
F3_113,Unknown,F2_32,F2_83
F3_114,Unknown,F2_60,F2_35
F3_115,Unknown,F2_6,F2_98
F3_116,Unknown,F2_94,F2_98
F3_117,Unknown,F2_52,F2_37
F3_118,Unknown,F2_93,F2_78
F3_119,Unknown,F2_38,F2_6
F3_120,Unknown,F2_87,F2_57
F3_121,Unknown,F2_59,F2_53
F3_122,Unknown,F2_42,F2_11
F3_123,Unknown,F2_22,F2_78
F3_124,Unknown,F2_22,F2_50
F3_125,Unknown,F2_59,F2_22
F3_126,Unknown,F2_5,F2_76
F3_127,Unknown,F2_55,F2_15
F3_128,Unknown,F2_75,F2_55
F3_129,Unknown,F2_63,F2_36
F3_130,Unknown,F2_60,F2_42
F3_131,Unknown,F2_90,F2_77
F3_132,Unknown,F2_63,F2_17
F3_133,Unknown,F2_25,F2_84
F3_134,Unknown,F2_26,F2_21
F3_135,Unknown,F2_91,F2_26
F3_136,Unknown,F2_94,F2_31
F3_137,Unknown,F2_67,F2_83
F3_138,Unknown,F2_37,F2_16
F3_139,Unknown,F2_95,F2_15
F3_140,Unknown,F2_25,F2_81
F3_141,Unknown,F2_40,F2_60
F3_142,Unknown,F2_15,F2_28
F3_143,Unknown,F2_67,F2_97
F3_144,Unknown,F2_94,F2_77
F3_145,Unknown,F2_22,F2_3
F3_146,Unknown,F2_87,F2_38
F3_147,Unknown,F2_52,F2_3
F3_148,Unknown,F2_63,F2_41
F3_149,Unknown,F2_82,F2_24
F3_150,Unknown,F2_56,F2_86
F3_151,Unknown,F2_69,F2_67
F3_152,Unknown,F2_69,F2_53
F3_153,Unknown,F2_68,F2_48
F3_154,Unknown,F2_73,F2_57
F3_155,Unknown,F2_73,F2_62
F3_156,Unknown,F2_11,F2_87
F3_157,Unknown,F2_45,F2_65
F3_158,Unknown,F2_19,F2_6
F3_159,Unknown,F2_64,F2_78
F3_160,Unknown,F2_65,F2_43
F3_161,Unknown,F2_95,F2_54
F3_162,Unknown,F2_57,F2_28
F3_163,Unknown,F2_35,F2_31
F3_164,Unknown,F2_22,F2_28
F3_165,Unknown,F2_41,F2_99
F3_166,Unknown,F2_21,F2_97
F3_167,Unknown,F2_80,F2_72
F3_168,Unknown,F2_49,F2_6
F3_169,Unknown,F2_63,F2_66
F3_170,Unknown,F2_72,F2_62
F3_171,Unknown,F2_25,F2_98
F3_172,Unknown,F2_13,F2_72
F3_173,Unknown,F2_72,F2_48
F3_174,Unknown,F2_32,F2_82
F3_175,Unknown,F2_99,F2_70
F3_176,Unknown,F2_2,F2_47
F3_177,Unknown,F2_31,F2_25
F3_178,Unknown,F2_29,F2_98
F3_179,Unknown,F2_13,F2_2
F3_180,Unknown,F2_7,F2_41
F3_181,Unknown,F2_48,F2_12
F3_182,Unknown,F2_90,F2_49
F3_183,Unknown,F2_14,F2_83
F3_184,Unknown,F2_80,F2_70
F3_185,Unknown,F2_27,F2_13
F3_186,Unknown,F2_92,F2_89
F3_187,Unknown,F2_57,F2_37
F3_188,Unknown,F2_11,F2_86
F3_189,Unknown,F2_30,F2_24
F3_190,Unknown,F2_64,F2_95
F3_191,Unknown,F2_23,F2_94
F3_192,Unknown,F2_41,F2_80
F3_193,Unknown,F2_73,F2_79
F3_194,Unknown,F2_77,F2_66
F3_195,Unknown,F2_94,F2_53
F3_196,Unknown,F2_56,F2_81
F3_197,Unknown,F2_16,F2_20
F3_198,Unknown,F2_12,F2_5
F3_199,Unknown,F2_93,F2_8
