FID,IID,PAT,MAT,SEX,PHENOTYPE
AstCal_AulStu,fAulAsc80,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc81,fAulAsc150,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc82,fAulAsc151,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc83,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc84,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc85,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc86,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc87,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc88,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc89,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc90,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc91,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc92,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc93,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc94,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc95,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc96,fAulAsc157,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc97,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc98,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc99,fAulAsc151,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc100,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc101,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc102,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc103,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc104,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc105,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc106,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc107,fAulAsc150,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc108,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc109,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc110,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc111,fAulAsc19,0,1,-9
AstCal_AulStu,fAulAsc112,fAulAsc19,0,1,-9
AstCal_AulStu,fAulAsc113,fAulAsc32,0,1,-9
AstCal_AulStu,fAulAsc114,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc115,fAulAsc32,0,1,-9
AstCal_AulStu,fAulAsc116,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc117,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc118,fAulAsc32,0,1,-9
AstCal_AulStu,fAulAsc119,fAulAsc25,0,1,-9
AstCal_AulStu,fAulAsc120,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc121,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc122,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc123,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc124,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc125,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc126,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc127,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc128,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc129,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc130,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc131,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc132,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc133,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc134,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc135,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc136,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc137,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc138,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc139,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc140,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc141,fAulAsc150,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc142,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc143,fAulAsc23,0,1,-9
AstCal_AulStu,fAulAsc144,fAulAsc32,0,1,-9
AstCal_AulStu,fAulAsc145,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc146,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc147,fAulAsc150,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc148,fAulAsc150,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc149,fAulAsc150,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc150,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc151,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc152,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc153,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,2,-9
AstCal_AulStu,fAulAsc154,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,2,-9
AstCal_AulStu,fAulAsc155,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc156,LATENT_G0_SHARED,LATENT_G0_B2_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc157,LATENT_G0_SHARED,LATENT_G0_B1_SPECIFIC,1,-9
AstCal_AulStu,fAulAsc158,LATENT_G0_SHARED,LATENT_G0_B1_SPECIFIC,1,-9
AstCal_AulStu,fAstCal32,0,0,1,-9
AstCal_AulStu,fAstCal33,0,0,2,-9
AstCal_AulStu,fAulAsc159,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc170,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc181,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc192,fAulAsc9,0,1,-9
AstCal_AulStu,fAulAsc203,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc214,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc225,fAulAsc32,0,1,-9
AstCal_AulStu,fAulAsc235,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc162,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc173,fAulAsc37,0,1,-9
AstCal_AulStu,fAulAsc184,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc195,fAulAsc34,0,1,-9
AstCal_AulStu,fAulAsc206,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc217,fAulAsc103,0,1,-9
AstCal_AulStu,fAulAsc227,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc237,fAulAsc97,0,1,-9
AstCal_AulStu,fAulAsc163,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc174,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc185,fAulAsc128,0,1,-9
AstCal_AulStu,fAulAsc196,fAulAsc18,0,1,-9
AstCal_AulStu,fAulAsc207,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc218,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc228,fAulAsc128,0,1,-9
